"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","WaterLevel_WaterLevel","Lithology_DepthToTop","Lithology_DepthToBottom","Lithology_LithologyName","Lithology_MaterialType","Lithology_HardnessQualifier"
"Dept Water - Pretoria","2527BB00085","Borehole","-25.23450","27.81525",,"19.00","20.00","Clay","Unconsolidated",
"Dept Water - Pretoria","2527BB00085","Borehole","-25.23450","27.81525",,"20.00","21.00","Clay & Sand","Unconsolidated",
"Dept Water - Pretoria","2527BB00085","Borehole","-25.23450","27.81525",,"21.00","22.00","Dolerite","Consolidated",
"Dept Water - Pretoria","2527BB00085","Borehole","-25.23450","27.81525",,"22.00","27.00","Dolerite","Consolidated",
"Dept Water - Pretoria","2527BB00085","Borehole","-25.23450","27.81525",,"27.00","40.00","Granite","Consolidated",
"Dept Water - Pretoria","2527BB00085","Borehole","-25.23450","27.81525",,"40.00","55.00","Sandstone","Consolidated",
"Dept Water - Pretoria","2527BB00085","Borehole","-25.23450","27.81525",,"55.00","60.00","Granite","Consolidated",
"Dept Water - Pretoria","2526AB00045","Borehole","-25.23412","26.25801",,"0.00","24.00","Granite","Consolidated",
"Dept Water - Pretoria","2526AB00045","Borehole","-25.23412","26.25801",,"24.00","60.00","Granite","Consolidated",
"Dept Water - Pretoria","2529AA00320","Borehole","-25.23412","29.04424","15.68",,,,,
"Dept Water - Pretoria","2526AB00043","Borehole","-25.23411","26.25801",,"0.00","27.00","Dolerite","Consolidated",
"Dept Water - Pretoria","2526AB00043","Borehole","-25.23411","26.25801",,"27.00","118.00","Dolerite","Consolidated",
"Dept Water - Pretoria","2526AB00041","Borehole","-25.23410","26.25801",,"0.00","10.00","Granite","Consolidated",
"Dept Water - Pretoria","2526AB00041","Borehole","-25.23410","26.25801",,"10.00","123.00","Granite","Consolidated",
"Dept Water - Pretoria","2526AB00039","Borehole","-25.23409","26.25801",,"0.00","13.00","Clay","Unconsolidated",
"Dept Water - Pretoria","2526AB00039","Borehole","-25.23409","26.25801",,"13.00","76.00","Granite","Consolidated",
"Dept Water - Pretoria","2526AB00037","Borehole","-25.23408","26.25801",,"0.00","10.00","Clay","Unconsolidated",
"Dept Water - Pretoria","2526AB00037","Borehole","-25.23408","26.25801",,"10.00","16.00","Granite","Consolidated",
"Dept Water - Pretoria","2526AB00037","Borehole","-25.23408","26.25801",,"16.00","91.00","Granite","Consolidated",
"Dept Water - Pretoria","2526AB00035","Borehole","-25.23407","26.25801",,"0.00","2.00","Clay","Unconsolidated",
"Dept Water - Pretoria","2526AB00035","Borehole","-25.23407","26.25801",,"2.00","28.00","Dolerite","Consolidated",
"Dept Water - Pretoria","2526AB00035","Borehole","-25.23407","26.25801",,"28.00","74.00","Dolerite","Consolidated",
"Dept Water - Pretoria","2526AB00033","Borehole","-25.23406","26.25801","33.83","0.00","4.57","Tuff","Consolidated",
"Dept Water - Pretoria","2526AB00033","Borehole","-25.23406","26.25801","33.83","4.57","18.29","Norite","Consolidated",
"Dept Water - Pretoria","2526AB00033","Borehole","-25.23406","26.25801","33.83","18.29","53.95","Norite","Consolidated",
"Dept Water - Pretoria","2526AB00033","Borehole","-25.23406","26.25801","33.83","53.95","60.66","Quartzite","Consolidated",
"Dept Water - Pretoria","2526AB00033","Borehole","-25.23406","26.25801","33.83","60.66","80.77","Norite","Consolidated",
"Dept Water - Pretoria","2526AB00031","Borehole","-25.23405","26.25801",,"0.00","42.67","Quartzite","Consolidated",
"Dept Water - Pretoria","2526AB00031","Borehole","-25.23405","26.25801",,"42.67","56.39","Norite","Consolidated",
"Dept Water - Pretoria","2526AB00031","Borehole","-25.23405","26.25801",,"56.39","76.20","Quartzite","Consolidated",
"Dept Water - Pretoria","2527BA00163","Borehole","-25.23405","27.54969","11.28","0.00","4.88","Gravel","Unconsolidated",
"Dept Water - Pretoria","2527BA00163","Borehole","-25.23405","27.54969","11.28","4.88","10.97","Sand","Unconsolidated",
"Dept Water - Pretoria","2527BA00163","Borehole","-25.23405","27.54969","11.28","10.97","16.15","Gravel","Unconsolidated",
"Dept Water - Pretoria","2527BA00163","Borehole","-25.23405","27.54969","11.28","16.15","17.68","Sand","Unconsolidated",
"Dept Water - Pretoria","2526AB00029","Borehole","-25.23404","26.25801",,"0.00","59.13","Quartzite","Consolidated",
"Dept Water - Pretoria","2526AB00029","Borehole","-25.23404","26.25801",,"59.13","100.58","Sandstone","Consolidated",
"Dept Water - Pretoria","2527BA00161","Borehole","-25.23404","27.54969","19.20","0.00","3.05","Tuff","Consolidated",
"Dept Water - Pretoria","2527BA00161","Borehole","-25.23404","27.54969","19.20","3.05","10.67","Sand","Unconsolidated",
"Dept Water - Pretoria","2527BA00161","Borehole","-25.23404","27.54969","19.20","10.67","35.05","Gravel","Unconsolidated",
"Dept Water - Pretoria","2527BA00161","Borehole","-25.23404","27.54969","19.20","35.05","49.07","Quartzite","Consolidated",
"Dept Water - Pretoria","2527BA00161","Borehole","-25.23404","27.54969","19.20","49.07","66.40","Shale","Consolidated",
"Dept Water - Pretoria","2526AB00027","Borehole","-25.23403","26.25801",,"0.00","70.71","Norite","Consolidated",
"Dept Water - Pretoria","2526AB00027","Borehole","-25.23403","26.25801",,"70.71","122.22","Quartzite","Consolidated",
"Dept Water - Pretoria","2527BA00155","Borehole","-25.23403","27.54969","27.43","0.00","1.22","SOIL","Unconsolidated",
"Dept Water - Pretoria","2527BA00155","Borehole","-25.23403","27.54969","27.43","1.22","30.48","Gravel","Unconsolidated",
"Dept Water - Pretoria","2527BA00155","Borehole","-25.23403","27.54969","27.43","30.48","37.19","NO SAMPLE",,
"Dept Water - Pretoria","2527BA00155","Borehole","-25.23403","27.54969","27.43","37.19","43.28","Quartzite","Consolidated",
"Dept Water - Pretoria","2527BA00155","Borehole","-25.23403","27.54969","27.43","43.28","51.82","Shale","Consolidated",
"Dept Water - Pretoria","2527BA00155","Borehole","-25.23403","27.54969","27.43","51.82","62.18","Shale","Consolidated",
"Dept Water - Pretoria","2526AB00025","Borehole","-25.23402","26.25801","30.78","0.00","6.10","Clay","Unconsolidated",
"Dept Water - Pretoria","2526AB00025","Borehole","-25.23402","26.25801","30.78","6.10","35.97","Norite","Consolidated",
"Dept Water - Pretoria","2526AB00025","Borehole","-25.23402","26.25801","30.78","35.97","65.23","Norite","Consolidated",
"Dept Water - Pretoria","2526AB00025","Borehole","-25.23402","26.25801","30.78","65.23","77.42","Diabase","Consolidated",
"Dept Water - Pretoria","2527BA00153","Borehole","-25.23402","27.54969","12.19","0.00","1.83","Gravel","Unconsolidated",
"Dept Water - Pretoria","2527BA00153","Borehole","-25.23402","27.54969","12.19","1.83","14.02","Norite","Consolidated",
"Dept Water - Pretoria","2527BA00153","Borehole","-25.23402","27.54969","12.19","14.02","60.96","Granite","Consolidated",
"Dept Water - Pretoria","2526AA00084","Borehole","-25.23401","26.06634",,"0.00","7.32","Boulder Clay","Unconsolidated",
"Dept Water - Pretoria","2526AA00084","Borehole","-25.23401","26.06634",,"7.32","28.65","Norite","Consolidated",
"Dept Water - Pretoria","2526AA00084","Borehole","-25.23401","26.06634",,"28.65","43.89","Diabase","Consolidated",
"Dept Water - Pretoria","2526AA00084","Borehole","-25.23401","26.06634",,"43.89","80.47","Diabase","Consolidated",
"Dept Water - Pretoria","2526AB00023","Borehole","-25.23401","26.25801",,"0.00","7.32","Clay","Unconsolidated",
"Dept Water - Pretoria","2526AB00023","Borehole","-25.23401","26.25801",,"7.32","25.60","Norite","Consolidated",
"Dept Water - Pretoria","2526AB00023","Borehole","-25.23401","26.25801",,"25.60","39.01","Norite","Consolidated",
"Dept Water - Pretoria","2527BA00151","Borehole","-25.23401","27.54969","20.00","0.00","6.00","Alluvium","Unconsolidated",
"Dept Water - Pretoria","2527BA00151","Borehole","-25.23401","27.54969","20.00","6.00","21.50","Quartzite","Consolidated",
"Dept Water - Pretoria","2527BA00151","Borehole","-25.23401","27.54969","20.00","21.50","90.00","Quartzite","Consolidated","Hard"
"Dept Water - Pretoria","2526AA00082","Borehole","-25.23400","26.06634",,"0.00","8.53","Clay","Unconsolidated",
"Dept Water - Pretoria","2526AA00082","Borehole","-25.23400","26.06634",,"8.53","51.82","Diabase","Consolidated",
"Dept Water - Pretoria","2526AA00082","Borehole","-25.23400","26.06634",,"51.82","122.53","Diabase","Consolidated",
"Dept Water - Pretoria","2526AB00021","Borehole","-25.23400","26.25801",,"0.00","4.57","Tuff","Consolidated",
"Dept Water - Pretoria","2526AB00021","Borehole","-25.23400","26.25801",,"4.57","15.24","Norite","Consolidated",
"Dept Water - Pretoria","2526AB00021","Borehole","-25.23400","26.25801",,"15.24","31.70","Norite","Consolidated",
"Dept Water - Pretoria","2527BA00149","Borehole","-25.23400","27.54969","19.20","0.00","16.15","Granite","Consolidated",
"Dept Water - Pretoria","2527BA00149","Borehole","-25.23400","27.54969","19.20","16.15","60.96","Granite","Consolidated",
"Dept Water - Pretoria","2526AA00080","Borehole","-25.23399","26.06634",,"0.00","3.05","Boulders","Unconsolidated",
"Dept Water - Pretoria","2526AA00080","Borehole","-25.23399","26.06634",,"3.05","19.81","Sandstone","Consolidated",
"Dept Water - Pretoria","2526AA00080","Borehole","-25.23399","26.06634",,"19.81","41.15","Norite","Consolidated",
"Dept Water - Pretoria","2526AB00019","Borehole","-25.23399","26.25801",,"0.00","4.88","SOIL","Unconsolidated",
"Dept Water - Pretoria","2526AB00019","Borehole","-25.23399","26.25801",,"4.88","17.07","Norite","Consolidated",
"Dept Water - Pretoria","2526AB00019","Borehole","-25.23399","26.25801",,"17.07","61.26","Norite","Consolidated",
"Dept Water - Pretoria","2527BA00147","Borehole","-25.23399","27.54969",,"0.00","11.89","Boulders","Unconsolidated",
"Dept Water - Pretoria","2527BA00147","Borehole","-25.23399","27.54969",,"11.89","33.83","Granite","Consolidated",
"Dept Water - Pretoria","2527BA00147","Borehole","-25.23399","27.54969",,"33.83","39.93","Clay","Unconsolidated",
"Dept Water - Pretoria","2527BA00147","Borehole","-25.23399","27.54969",,"39.93","52.73","Granite","Consolidated",
"Dept Water - Pretoria","2526AA00078","Borehole","-25.23398","26.06634","45.72","0.00","2.13","SOIL","Unconsolidated",
"Dept Water - Pretoria","2526AA00078","Borehole","-25.23398","26.06634","45.72","2.13","63.09","Quartzite","Consolidated",
"Dept Water - Pretoria","2526AA00078","Borehole","-25.23398","26.06634","50.60","0.00","2.13","SOIL","Unconsolidated",
"Dept Water - Pretoria","2526AA00078","Borehole","-25.23398","26.06634","50.60","2.13","63.09","Quartzite","Consolidated",
"Dept Water - Pretoria","2526AB00017","Borehole","-25.23398","26.25801",,"0.00","51.82","Sandstone","Consolidated",
"Dept Water - Pretoria","2526AB00017","Borehole","-25.23398","26.25801",,"51.82","53.64","Sandstone","Consolidated",
"Dept Water - Pretoria","2526AB00059","Borehole","-25.23398","26.48300",,"0.00","0.91","Tuff","Consolidated",
"Dept Water - Pretoria","2526AB00059","Borehole","-25.23398","26.48300",,"0.91","30.48","Norite","Consolidated",
"Dept Water - Pretoria","2526AB00059","Borehole","-25.23398","26.48300",,"30.48","55.78","Norite","Consolidated",
"Dept Water - Pretoria","2527BA00145","Borehole","-25.23398","27.54969","13.72","0.00","9.45","Gravel","Unconsolidated",
"Dept Water - Pretoria","2527BA00145","Borehole","-25.23398","27.54969","13.72","9.45","34.14","Granite","Consolidated",
"Dept Water - Pretoria","2526AA00076","Borehole","-25.23397","26.06634",,"0.00","0.91","SOIL","Unconsolidated",
"Dept Water - Pretoria","2526AA00076","Borehole","-25.23397","26.06634",,"0.91","17.07","Gravel","Unconsolidated",
"Dept Water - Pretoria","2526AA00076","Borehole","-25.23397","26.06634",,"17.07","35.97","Quartzite","Consolidated",
"Dept Water - Pretoria","2526AA00076","Borehole","-25.23397","26.06634",,"35.97","82.30","Diabase","Consolidated",
"Dept Water - Pretoria","2526AB00015","Borehole","-25.23397","26.25801",,"0.00","42.67","Norite","Consolidated",
"Dept Water - Pretoria","2526AB00015","Borehole","-25.23397","26.25801",,"42.67","45.72","Norite","Consolidated",
"Dept Water - Pretoria","2527BA00143","Borehole","-25.23397","27.54969","18.29","0.00","1.22","Boulders","Unconsolidated",
"Dept Water - Pretoria","2527BA00143","Borehole","-25.23397","27.54969","18.29","1.22","27.43","Gravel","Unconsolidated",
"Dept Water - Pretoria","2527BA00143","Borehole","-25.23397","27.54969","18.29","27.43","51.82","Quartzite","Consolidated",
"Dept Water - Pretoria","2526AA00074","Borehole","-25.23396","26.06634","39.32","0.00","0.91","SOIL","Unconsolidated",
"Dept Water - Pretoria","2526AA00074","Borehole","-25.23396","26.06634","39.32","0.91","5.18","Clay","Unconsolidated",
"Dept Water - Pretoria","2526AA00074","Borehole","-25.23396","26.06634","39.32","5.18","6.10","Gravel & Clay","Unconsolidated",
"Dept Water - Pretoria","2526AA00074","Borehole","-25.23396","26.06634","39.32","6.10","24.08","Shale","Consolidated",
"Dept Water - Pretoria","2526AA00074","Borehole","-25.23396","26.06634","39.32","24.08","57.91","Diabase","Consolidated",
"Dept Water - Pretoria","2526AB00013","Borehole","-25.23396","26.25801",,"0.00","27.43","Quartzite","Consolidated",
"Dept Water - Pretoria","2526AB00013","Borehole","-25.23396","26.25801",,"27.43","54.25","Quartzite","Consolidated",
"Dept Water - Pretoria","2527BA00141","Borehole","-25.23396","27.54969","29.87","0.00","42.37","Granite","Consolidated",
"Dept Water - Pretoria","2526AA00072","Borehole","-25.23395","26.06634","33.83","0.00","0.91","SOIL","Unconsolidated",
"Dept Water - Pretoria","2526AA00072","Borehole","-25.23395","26.06634","33.83","0.91","3.05","Limestone","Consolidated",
"Dept Water - Pretoria","2526AA00072","Borehole","-25.23395","26.06634","33.83","3.05","6.10","Gravel","Unconsolidated",
"Dept Water - Pretoria","2526AA00072","Borehole","-25.23395","26.06634","33.83","6.10","38.10","Diabase","Consolidated",
"Dept Water - Pretoria","2526AA00072","Borehole","-25.23395","26.06634","33.83","38.10","48.16","Diabase","Consolidated",
"Dept Water - Pretoria","2526AB00011","Borehole","-25.23395","26.25801","20.42","0.00","1.22","SOIL","Unconsolidated",
"Dept Water - Pretoria","2526AB00011","Borehole","-25.23395","26.25801","20.42","1.22","20.42","Shale","Consolidated",
"Dept Water - Pretoria","2526AB00011","Borehole","-25.23395","26.25801","20.42","20.42","30.48","Granite","Consolidated",
"Dept Water - Pretoria","2526AB00011","Borehole","-25.23395","26.25801","20.42","30.48","44.81","Granite","Consolidated",
"Dept Water - Pretoria","2526AB00053","Borehole","-25.23395","26.48300",,"0.00","1.52","Tuff","Consolidated",
"Dept Water - Pretoria","2526AB00053","Borehole","-25.23395","26.48300",,"1.52","18.29","Norite","Consolidated",
"Dept Water - Pretoria","2526AB00053","Borehole","-25.23395","26.48300",,"18.29","47.55","Norite","Consolidated",
"Dept Water - Pretoria","2527BA00139","Borehole","-25.23395","27.54969","19.20","0.00","30.18","Granite","Consolidated",
"Dept Water - Pretoria","2526AA00070","Borehole","-25.23394","26.06634",,"0.00","1.83","Alluvium","Unconsolidated",
"Dept Water - Pretoria","2526AA00070","Borehole","-25.23394","26.06634",,"1.83","12.19","Gravel","Unconsolidated",
"Dept Water - Pretoria","2526AA00070","Borehole","-25.23394","26.06634",,"12.19","23.47","Shale","Consolidated",
"Dept Water - Pretoria","2526AA00070","Borehole","-25.23394","26.06634",,"23.47","26.52","Quartzite","Consolidated",
"Dept Water - Pretoria","2526AA00070","Borehole","-25.23394","26.06634",,"26.52","33.53","Diabase","Consolidated",
"Dept Water - Pretoria","2526AA00306","Borehole","-25.23394","26.17050",,"0.00","85.00","Norite","Consolidated",
"Dept Water - Pretoria","2526AB00009","Borehole","-25.23394","26.25801",,"0.00","1.22","SOIL","Unconsolidated",
"Dept Water - Pretoria","2526AB00009","Borehole","-25.23394","26.25801",,"1.22","8.84","Gravel","Unconsolidated",
"Dept Water - Pretoria","2526AB00009","Borehole","-25.23394","26.25801",,"8.84","17.68","Quartzite","Consolidated",
"Dept Water - Pretoria","2526AB00009","Borehole","-25.23394","26.25801",,"17.68","64.01","Granite","Consolidated",
"Dept Water - Pretoria","2527BA00138","Borehole","-25.23394","27.54969",,"0.00","6.71","Granite","Consolidated",
"Dept Water - Pretoria","2527BA00138","Borehole","-25.23394","27.54969",,"6.71","60.96","Granite","Consolidated",
"Dept Water - Pretoria","2527BA00168","Borehole","-25.23394","27.54969","24.38","0.00","52.73","Granite","Consolidated",
"Dept Water - Pretoria","2527BA00169","Borehole","-25.23394","27.54969","30.48","0.00","63.70","Granite","Consolidated",
"Dept Water - Pretoria","2527BA00140","Borehole","-25.23394","27.54970","21.34","0.00","32.00","Granite","Consolidated",
"Dept Water - Pretoria","2527BA00142","Borehole","-25.23394","27.54971","18.29","0.00","5.49","SOIL","Unconsolidated",
"Dept Water - Pretoria","2527BA00142","Borehole","-25.23394","27.54971","18.29","5.49","28.65","Limestone","Consolidated",
"Dept Water - Pretoria","2527BA00142","Borehole","-25.23394","27.54971","18.29","28.65","31.09","Dolomite","Consolidated",
"Dept Water - Pretoria","2527BA00144","Borehole","-25.23394","27.54972","19.81","0.00","25.91","Gravel","Unconsolidated",
"Dept Water - Pretoria","2527BA00144","Borehole","-25.23394","27.54972","19.81","25.91","49.99","Granite","Consolidated",
"Dept Water - Pretoria","2527BA00146","Borehole","-25.23394","27.54973","28.65","0.00","9.14","Gneiss","Consolidated",
"Dept Water - Pretoria","2527BA00146","Borehole","-25.23394","27.54973","28.65","9.14","42.67","Diabase","Consolidated",
"Dept Water - Pretoria","2527BA00148","Borehole","-25.23394","27.54974",,"0.00","14.02","Granite","Consolidated",
"Dept Water - Pretoria","2527BA00148","Borehole","-25.23394","27.54974",,"14.02","37.80","Granite","Consolidated",
"Dept Water - Pretoria","2527BA00150","Borehole","-25.23394","27.54975","32.61","0.00","42.67","Granite","Consolidated",
"Dept Water - Pretoria","2527BA00152","Borehole","-25.23394","27.54976","28.65","0.00","15.24","Diabase","Consolidated",
"Dept Water - Pretoria","2527BA00152","Borehole","-25.23394","27.54976","28.65","15.24","34.44","Diabase","Consolidated",
"Dept Water - Pretoria","2527BA00152","Borehole","-25.23394","27.54976","28.65","34.44","35.36","Granite","Consolidated",
"Dept Water - Pretoria","2527BA00154","Borehole","-25.23394","27.54977","21.34","0.00","1.22","Shale","Consolidated",
"Dept Water - Pretoria","2527BA00154","Borehole","-25.23394","27.54977","21.34","1.22","40.23","Diabase","Consolidated",
"Dept Water - Pretoria","2527BA00162","Borehole","-25.23394","27.54979","18.29","0.00","1.83","Tuff","Consolidated",
"Dept Water - Pretoria","2527BA00162","Borehole","-25.23394","27.54979","18.29","1.83","4.57","Gravel","Unconsolidated",
"Dept Water - Pretoria","2527BA00162","Borehole","-25.23394","27.54979","18.29","4.57","7.92","Boulders","Unconsolidated",
"Dept Water - Pretoria","2527BA00162","Borehole","-25.23394","27.54979","18.29","7.92","18.29","Gravel","Unconsolidated",
"Dept Water - Pretoria","2527BA00162","Borehole","-25.23394","27.54979","18.29","18.29","49.68","Quartzite","Consolidated",
"Dept Water - Pretoria","2527BA00164","Borehole","-25.23394","27.54980","60.96","0.00","4.88","Gravel","Unconsolidated",
"Dept Water - Pretoria","2527BA00164","Borehole","-25.23394","27.54980","60.96","4.88","23.77","Granite","Consolidated",
"Dept Water - Pretoria","2527BA00164","Borehole","-25.23394","27.54980","60.96","23.77","46.33","Granite","Consolidated",
"Dept Water - Pretoria","2527BA00164","Borehole","-25.23394","27.54980","60.96","46.33","54.25","Granite","Consolidated",
"Dept Water - Pretoria","2527BA00164","Borehole","-25.23394","27.54980","60.96","54.25","82.60","Granite","Consolidated",
"Dept Water - Pretoria","2528BB00895","Borehole","-25.23394","28.85054",,,,,,
"Dept Water - Pretoria","2526AA00068","Borehole","-25.23393","26.06634","33.22","0.00","21.34","Boulder Clay","Unconsolidated",
"Dept Water - Pretoria","2526AA00068","Borehole","-25.23393","26.06634","33.22","21.34","43.89","Diabase","Consolidated",
"Dept Water - Pretoria","2526AA00068","Borehole","-25.23393","26.06634","33.22","43.89","44.81","Diabase","Consolidated",
"Dept Water - Pretoria","2526AA00069","Borehole","-25.23393","26.06635","12.80","0.00","7.92","SOIL","Unconsolidated",
"Dept Water - Pretoria","2526AA00069","Borehole","-25.23393","26.06635","12.80","7.92","55.78","Quartzite","Consolidated",
"Dept Water - Pretoria","2526AA00071","Borehole","-25.23393","26.06636",,"0.00","0.91","SOIL","Unconsolidated",
"Dept Water - Pretoria","2526AA00071","Borehole","-25.23393","26.06636",,"0.91","5.49","Gravel","Unconsolidated",
"Dept Water - Pretoria","2526AA00071","Borehole","-25.23393","26.06636",,"5.49","8.53","Clay","Unconsolidated",
"Dept Water - Pretoria","2526AA00071","Borehole","-25.23393","26.06636",,"8.53","10.97","Shale","Consolidated",
"Dept Water - Pretoria","2526AA00071","Borehole","-25.23393","26.06636",,"10.97","12.80","NO SAMPLE",,
"Dept Water - Pretoria","2526AA00071","Borehole","-25.23393","26.06636",,"12.80","13.34","NO SAMPLE",,
"Dept Water - Pretoria","2526AA00071","Borehole","-25.23393","26.06636",,"13.34","15.44","NO SAMPLE",,
"Dept Water - Pretoria","2526AA00073","Borehole","-25.23393","26.06637",,"0.00","0.91","SOIL","Unconsolidated",
"Dept Water - Pretoria","2526AA00073","Borehole","-25.23393","26.06637",,"0.91","5.79","Sandstone","Consolidated",
"Dept Water - Pretoria","2526AA00073","Borehole","-25.23393","26.06637",,"5.79","11.89","Sand & Clay","Unconsolidated",
"Dept Water - Pretoria","2526AA00073","Borehole","-25.23393","26.06637",,"11.89","36.58","SOIL","Unconsolidated",
"Dept Water - Pretoria","2526AA00073","Borehole","-25.23393","26.06637",,"36.58","61.87","Shale","Consolidated",
"Dept Water - Pretoria","2526AA00077","Borehole","-25.23393","26.06639","38.40","0.00","0.61","SOIL","Unconsolidated",
"Dept Water - Pretoria","2526AA00077","Borehole","-25.23393","26.06639","38.40","0.61","3.66","Limestone","Consolidated",
"Dept Water - Pretoria","2526AA00077","Borehole","-25.23393","26.06639","38.40","3.66","6.71","Boulders","Unconsolidated",
"Dept Water - Pretoria","2526AA00077","Borehole","-25.23393","26.06639","38.40","6.71","21.95","Gravel","Unconsolidated",
"Dept Water - Pretoria","2526AA00077","Borehole","-25.23393","26.06639","38.40","21.95","37.18","Diabase","Consolidated",
"Dept Water - Pretoria","2526AA00077","Borehole","-25.23393","26.06639","38.40","37.18","80.47","Diabase","Consolidated",
"Dept Water - Pretoria","2526AA00079","Borehole","-25.23393","26.06640",,"0.00","4.57","Clay","Unconsolidated",
"Dept Water - Pretoria","2526AA00079","Borehole","-25.23393","26.06640",,"4.57","14.63","Sandstone","Consolidated",
"Dept Water - Pretoria","2526AA00079","Borehole","-25.23393","26.06640",,"14.63","19.20","Norite","Consolidated",
"Dept Water - Pretoria","2526AA00079","Borehole","-25.23393","26.06640",,"19.20","32.92","Norite","Consolidated",
"Dept Water - Pretoria","2526AA00081","Borehole","-25.23393","26.06641","59.13","0.00","6.10","SOIL","Unconsolidated",
"Dept Water - Pretoria","2526AA00081","Borehole","-25.23393","26.06641","59.13","6.10","45.11","Sandstone","Consolidated",
"Dept Water - Pretoria","2526AA00081","Borehole","-25.23393","26.06641","59.13","45.11","63.40","Norite","Consolidated",
"Dept Water - Pretoria","2526AA00083","Borehole","-25.23393","26.06642",,"0.00","7.32","Clay","Unconsolidated",
"Dept Water - Pretoria","2526AA00083","Borehole","-25.23393","26.06642",,"7.32","10.36","Quartzite","Consolidated",
"Dept Water - Pretoria","2526AA00083","Borehole","-25.23393","26.06642",,"10.36","51.82","Diabase","Consolidated",
"Dept Water - Pretoria","2526AA00083","Borehole","-25.23393","26.06642",,"51.82","77.42","Diabase","Consolidated",
"Dept Water - Pretoria","2526AA00085","Borehole","-25.23393","26.06643","56.39","0.00","13.41","Boulder Clay","Unconsolidated",
"Dept Water - Pretoria","2526AA00085","Borehole","-25.23393","26.06643","56.39","13.41","34.75","Norite","Consolidated",
"Dept Water - Pretoria","2526AA00085","Borehole","-25.23393","26.06643","56.39","34.75","113.99","Norite","Consolidated",
"Dept Water - Pretoria","2526AA00085","Borehole","-25.23393","26.06643","56.39","113.99","183.18","Diabase","Consolidated",
"Dept Water - Pretoria","2526AA00305","Borehole","-25.23393","26.17050",,"0.00","1.00","Clay","Unconsolidated",
"Dept Water - Pretoria","2526AA00305","Borehole","-25.23393","26.17050",,"1.00","37.00","Norite","Consolidated",
"Dept Water - Pretoria","2526AB00008","Borehole","-25.23393","26.25801",,"0.00","1.52","SOIL","Unconsolidated",
"Dept Water - Pretoria","2526AB00008","Borehole","-25.23393","26.25801",,"1.52","23.47","Quartzite","Consolidated",
"Dept Water - Pretoria","2526AB00008","Borehole","-25.23393","26.25801",,"23.47","43.28","Quartzite","Consolidated",
"Dept Water - Pretoria","2526AB00008","Borehole","-25.23393","26.25801",,"43.28","57.91","Granite","Consolidated",
"Dept Water - Pretoria","2526AB00010","Borehole","-25.23393","26.25801","27.74","0.00","9.14","SOIL","Unconsolidated",
"Dept Water - Pretoria","2526AB00010","Borehole","-25.23393","26.25801","27.74","9.14","29.87","Quartzite","Consolidated",
"Dept Water - Pretoria","2526AB00010","Borehole","-25.23393","26.25801","27.74","29.87","34.44","Granite","Consolidated",
"Dept Water - Pretoria","2526AB00010","Borehole","-25.23393","26.25801","27.74","34.44","37.49","Granite","Consolidated",
