"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","WaterLevel_WaterLevel","Lithology_DepthToTop","Lithology_DepthToBottom","Lithology_LithologyName","Lithology_MaterialType","Lithology_HardnessQualifier"
"Dept Water - Pretoria","2526BA00215","Borehole","-25.23560","26.66050","24.63","0.00","3.00","Sand","Unconsolidated",
"Dept Water - Pretoria","2526BA00215","Borehole","-25.23560","26.66050","24.63","3.00","14.00","Gabbro","Consolidated",
"Dept Water - Pretoria","2526BA00215","Borehole","-25.23560","26.66050","24.63","14.00","42.00","Gabbro","Consolidated",
"Dept Water - Pretoria","2526BA00215","Borehole","-25.23560","26.66050","24.63","42.00","67.00","Gabbro","Consolidated",
"Dept Water - Pretoria","2526BA00215","Borehole","-25.23560","26.66050","24.63","67.00","73.00","Pegmatite","Consolidated",
"Dept Water - Pretoria","2526BA00215","Borehole","-25.23560","26.66050","24.63","73.00","86.00","Norite","Consolidated",
"Dept Water - North West","2525BBE1125","Borehole","-25.23543","25.79602",,,,,,
"Dept Water - Pretoria","2526AB00193","Borehole","-25.23489","26.32208",,"0.00","1.00","SOIL","Unconsolidated",
"Dept Water - Pretoria","2526AB00193","Borehole","-25.23489","26.32208",,"1.00","17.00","Siltstone","Consolidated",
"Dept Water - Pretoria","2526AB00193","Borehole","-25.23489","26.32208",,"17.00","22.00","Norite","Consolidated",
"Dept Water - Pretoria","2526AB00193","Borehole","-25.23489","26.32208",,"22.00","81.00","Norite","Consolidated",
"Dept Water - Pretoria","2527BA00175","Borehole","-25.23459","27.66551",,,,,,
"Dept Water - Pretoria","2527BA00006","Borehole","-25.23450","27.53858",,,,,,
"Dept Water - Pretoria","2527BB00085","Borehole","-25.23450","27.81525",,"0.00","2.00","Clay","Unconsolidated",
"Dept Water - Pretoria","2527BB00085","Borehole","-25.23450","27.81525",,"2.00","4.00","Gravel","Unconsolidated",
"Dept Water - Pretoria","2527BB00085","Borehole","-25.23450","27.81525",,"4.00","13.00","Sandstone","Consolidated",
"Dept Water - Pretoria","2527BB00085","Borehole","-25.23450","27.81525",,"13.00","14.00","Chert","Consolidated","Hard"
"Dept Water - Pretoria","2527BB00085","Borehole","-25.23450","27.81525",,"14.00","19.00","Sandstone","Consolidated",
